X,Y
-13199472.7009,4035220.925
-13199909.5711,4034318.0657
-13200013.2001,4034394.0696
-13199997.4538,4034553.9203
-13199994.5178,4034577.5555
-13199992.1534,4034644.7063
-13199936.2314,4034717.1671
-13209086.0153,4034121.8672
-13199136.2419,4034856.8093
-13199160.1581,4034843.9244
-13199180.3251,4034832.9144
-13199199.2109,4034828.9617
-13199220.5216,4034823.4671
-13199169.2201,4034902.2686
-13199186.1906,4034893.6784
-13199206.9726,4034892.4335
-13199227.8755,4034884.5081
-13203613.696804,4034068.64343546
-13203596.2635749,4034090.32895736
-13204579.6597,4034352.4949
-13204563.669,4034330.7948
-13204509.293,4034426.8943
-13204531.3793,4034467.3697
-13204574.0023,4034441.0775
-13204434.5079,4034461.3584
-13204419.7281,4034447.7642
-13199244.0699,4035030.3982
-13199226.541,4035017.6534
-13199206.5696,4035004.2217
-13199190.0495,4034983.9377
-13199180.5752,4034965.7497
-13199215.7578,4034947.451
-13199212.8618,4034927.5312
-13199173.5354,4034938.17
-13199444.941,4034821.7869
-13199419.268,4034824.3233
-13199370.9287,4034836.9647
-13198503.9165,4034399.4954
-13192642.3658,4035362.3914
-13192604.2221,4035460.4126
-13194901.5307,4033645.7035
-13194874.7699,4033631.5693
-13194828.7632,4033648.5984
-13194760.9499,4033672.4085
-13194742.6647,4033678.8327
-13194778.9734,4033677.5957
-13194761.2611,4033710.6281
-13194761.954,4033725.7557
-13194759.7073,4033747.1577
-13194750.9331,4033765.4535
-13194746.5687,4033782.0731
-13194747.3032,4033811.5039
-13194742.3924,4033831.3369
-13203609.3420024,4034048.09526351
-13203591.4931371,4034126.79697681
-13204596.2849,4034344.6889
-13204549.4035,4034366.6128
-13204528.2934,4034398.5473
-13204498.5217,4034408.6451
-13204553.7575,4034415.7207
-13204376.7322,4034452.4374
-13204341.9011,4034439.741
-13204305.93,4034436.0868
-13194910.1824,4033660.533
-13194733.1972,4033705.74
-13194751.7454,4033693.4405
-13194831.771,4033720.4939
-13194825.9109,4033751.2972
-13206640.2053,4034431.6279
-13206676.7697,4034587.6516
-13206655.817,4034715.2513
-13206676.931,4034779.9514
-13206705.7969,4034786.6783
-13206615.8368,4034459.0669
-13206692.2893,4034740.5607
-13206708.3653,4034751.6334
-13206848.1018,4034841.6067
-13206852.3048,4034939.4245
-13198267.6304,4034293.9678
-13198358.1228546,4034355.76420024
-13198377.4993782,4034367.55690159
-13198391.1038735,4034378.25080319
-13198422.7736,4034387.1752
-13198473.0376,4034427.293
-13198525.9789,4034399.4367
-13198861.7338,4035301.3124
-13198799.7548,4035250.4343
-13198752.7367,4035174.3961
-13198829.096,4035147.2198
-13198871.8693,4035200.125
-13198939.1394,4035230.2223
-13199045.4085,4035276.0676
-13199117.0033,4035289.8857
-13199179.5829,4035314.958
-13199220.3613,4035262.3768
-13199011.629,4035261.5991
-13199152.3941,4035301.2124
-13199197.1936,4035258.9012
-13199087.7075,4035282.8171
-13194941.2487,4033647.2203
-13194898.3175,4033676.8313
-13194879.3527,4033669.7962
-13194887.1217,4033692.9032
-13194876.8532,4033710.6884
-13194863.9733,4033727.9287
-13194858.6201,4033745.926
-13194840.9888,4033735.6978
-13194853.0578,4033763.776
-13194841.2092,4033756.1906
-13194604.159,4033862.7703
-13194590.3329,4033859.0761
-13194595.3073,4033902.7506
-13194577.7147,4033961.4775
-13194563.7333,4033969.4468
